"Language","Dialect","Source","Segment","Type","Notes","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"Falam","Falam City","Thuan","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Thuan","ŋ̊","consonant","","velar","nasal","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Falam","Falam City","Thuan","ɛ","vowel","","","","","","monophthong","low-mid","front","unrounded","short","oral"
"Falam","Falam City","Thuan","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Falam","Falam City","Thuan","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Falam","Falam City","Thuan","ɔ","vowel","","","","","","monophthong","low-mid","back","rounded","short","oral"
"Falam","Falam City","Thuan","ia","vowel","","","","","","diphthong","","","","short",""
"Falam","Falam City","Thuan","ua","vowel","","","","","","diphthong","","","","short",""
"Falam","Falam City","Champeon","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Champeon","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","f","consonant","","labiodental","fricative","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","w","consonant","","labial","approximant","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","t̪","consonant","","dental","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","t̪ʰ","consonant","","dental","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Champeon","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Champeon","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","ts","consonant","","alveolar","affricate","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","tɬ","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","tɬʰ","consonant","","alveolar","lateral affricate","voiceless","aspirated","","","","","",""
"Falam","Falam City","Champeon","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","ɾ","consonant","","alveolar","tap/flap","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","l̥","consonant","","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Champeon","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Falam","Falam City","Champeon","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Champeon","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Falam","Falam City","Champeon","ɛ","vowel","","","","","","monophthong","low-mid","front","unrounded","short","oral"
"Falam","Falam City","Champeon","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Falam","Falam City","Champeon","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Falam","Falam City","Champeon","ɔ","vowel","","","","","","monophthong","low-mid","back","rounded","short","oral"
"Hakha Lai","","Peterson","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Hakha Lai","","Peterson","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","f","consonant","","labiodental","fricative","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","v","consonant","","labiodental","fricative","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","m̥","consonant","","bilabial","nasal","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","t̪","consonant","","dental","plosive","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","t̪ʰ","consonant","","dental","plosive","voiceless","aspirated","","","","","",""
"Hakha Lai","","Peterson","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Hakha Lai","","Peterson","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","z","consonant","","alveolar","fricative","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","ts","consonant","","alveolar","affricate","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","tsʰ","consonant","","alveolar","affricate","voiceless","aspirated","","","","","",""
"Hakha Lai","","Peterson","tɬ","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","tl","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","n̥","consonant","","alveolar","nasal","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","r̥","consonant","","alveolar","trill","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","r̥","consonant","","alveolar","trill","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","ɬ","consonant","","alveolar","lateral fricative","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Hakha Lai","","Peterson","ŋ̊","consonant","","velar","nasal","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Hakha Lai","","Peterson","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Hakha Lai","","Peterson","ɪ","vowel","","","","","","monophthong","near-high","near-front","unrounded","short","oral"
"Hakha Lai","","Peterson","iː","vowel","","","","","","monophthong","high","front","unrounded","long","oral"
"Hakha Lai","","Peterson","ɛ","vowel","","","","","","monophthong","low-mid","front","unrounded","short","oral"
"Hakha Lai","","Peterson","eː","vowel","","","","","","monophthong","high-mid","front","unrounded","long","oral"
"Hakha Lai","","Peterson","ə","vowel","","","","","","monophthong","mid","central","unrounded","short","oral"
"Hakha Lai","","Peterson","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Hakha Lai","","Peterson","uː","vowel","","","","","","monophthong","high","back","rounded","long","oral"
"Hakha Lai","","Peterson","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Hakha Lai","","Peterson","ɔː","vowel","","","","","","monophthong","low-mid","back","rounded","long","oral"
"Hakha Lai","","Peterson","aː","vowel","","","","","","monophthong","low","central","unrounded","long","oral"
"Hakha Lai","","Peterson","ui","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","oi","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","oːi","vowel","","","","","","diphthong","","","","long",""
"Hakha Lai","","Peterson","ɛi","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","aːi","vowel","","","","","","diphthong","","","","long",""
"Hakha Lai","","Peterson","iu","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","eu","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","eːu","vowel","","","","","","diphthong","","","","long",""
"Hakha Lai","","Peterson","ou","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","aːu","vowel","","","","","","diphthong","","","","long",""
"Hakha Lai","","Peterson","ia","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","ia:","vowel","","","","","","diphthong","","","","long",""
"Hakha Lai","","Peterson","ua","vowel","","","","","","diphthong","","","","short",""
"Hakha Lai","","Peterson","uaː","vowel","","","","","","diphthong","","","","long",""
"Hakha Lai","","Peterson","uai","vowel","","","","","","triphthong","","","","",""
"Hakha Lai","","Peterson","iau","vowel","","","","","","triphthong","","","","",""
"Hmar","Haflong","Lahkar","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Hmar","Haflong","Lahkar","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","f","consonant","","labiodental","fricative","voiceless","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","v","consonant","","labiodental","fricative","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Hmar","Haflong","Lahkar","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","z","consonant","","alveolar","fricative","voiced","unaspirated","","","","","",""
